k,BubbleSort partiel,BuildHeap / Remove,HeapSort
1,9985,7436,124199
2,19963,7448,124199
3,29934,7461,124199
4,39892,7472,124199
5,49841,7484,124199
6,59782,7497,124199
7,69716,7509,124199
8,79643,7520,124199
9,89564,7532,124199
10,99475,7544,124199
11,109381,7555,124199
12,119282,7567,124199
13,129179,7579,124199
14,139069,7590,124199
15,148955,7602,124199
16,158835,7614,124199
17,168712,7627,124199
18,178581,7639,124199
19,188442,7651,124199
20,198299,7662,124199
21,208150,7674,124199
22,217992,7687,124199
23,227822,7699,124199
24,237643,7712,124199
25,247456,7724,124199
26,257263,7736,124199
27,267065,7749,124199
28,276856,7761,124199
29,286640,7774,124199
30,296419,7787,124199
31,306194,7799,124199
32,315965,7811,124199
33,325730,7823,124199
34,335489,7836,124199
35,345244,7848,124199
36,354993,7860,124199
37,364739,7873,124199
38,374478,7886,124199
39,384215,7898,124199
40,393946,7911,124199
41,403673,7924,124199
42,413396,7935,124199
43,423115,7947,124199
44,432832,7959,124199
45,442544,7972,124199
46,452246,7984,124199
47,461938,7996,124199
48,471626,8009,124199
49,481309,8021,124199
50,490986,8033,124199
51,500654,8045,124199
52,510317,8058,124199
53,519975,8070,124199
54,529626,8081,124199
55,539273,8093,124199
56,548916,8103,124199
57,558554,8116,124199
58,568188,8127,124199
59,577818,8137,124199
60,587442,8150,124199
61,597059,8163,124199
62,606671,8174,124199
63,616274,8187,124199
64,625873,8200,124199
65,635469,8212,124199
66,645062,8224,124199
67,654650,8237,124199
68,664234,8250,124199
69,673813,8263,124199
70,683390,8275,124199
71,692966,8287,124199
72,702537,8299,124199
73,712103,8312,124199
74,721664,8324,124199
75,731222,8336,124199
76,740772,8348,124199
77,750315,8360,124199
78,759854,8371,124199
79,769389,8382,124199
80,778919,8394,124199
81,788444,8407,124199
82,797961,8419,124199
83,807473,8431,124199
84,816979,8444,124199
85,826478,8457,124199
86,835971,8469,124199
87,845457,8481,124199
88,854936,8493,124199
89,864411,8506,124199
90,873884,8518,124199
91,883350,8530,124199
92,892808,8542,124199
93,902262,8555,124199
94,911712,8568,124199
95,921160,8581,124199
96,930606,8593,124199
97,940049,8606,124199
98,949490,8619,124199
99,958929,8630,124199
100,968364,8642,124199
101,977795,8654,124199
102,987222,8666,124199
103,996649,8679,124199
104,1006074,8691,124199
105,1015497,8703,124199
106,1024915,8715,124199
107,1034325,8726,124199
108,1043732,8738,124199
109,1053135,8749,124199
110,1062533,8761,124199
111,1071924,8773,124199
112,1081310,8784,124199
113,1090692,8796,124199
114,1100067,8808,124199
115,1109435,8821,124199
116,1118795,8833,124199
117,1128151,8844,124199
118,1137499,8857,124199
119,1146840,8869,124199
120,1156176,8882,124199
121,1165511,8894,124199
122,1174845,8907,124199
123,1184174,8919,124199
124,1193498,8931,124199
125,1202817,8944,124199
126,1212131,8956,124199
127,1221438,8969,124199
128,1230734,8980,124199
129,1240026,8992,124199
