k,BubbleSort partiel,BuildHeap / Remove,HeapSort
1,0.0850000,0.3150000,3.4180000
2,0.1940000,0.3850000,3.7710000
3,0.2680000,0.3470000,4.0150000
4,0.3540000,0.3240000,3.9620000
5,0.4560000,0.2650000,3.2640000
6,0.5290000,0.3170000,3.1300000
7,0.5160000,0.3000000,2.8560000
8,0.5630000,0.3040000,3.9180000
9,0.7500000,0.2940000,3.2590000
10,0.7170000,0.3180000,2.8730000
11,0.7640000,0.3060000,3.4060000
12,1.0760000,0.3240000,3.1940000
13,0.9730000,0.3170000,2.8220000
14,0.9450000,0.2860000,2.8410000
15,1.0550000,0.3440000,3.6000000
16,1.1070000,0.2690000,3.2470000
17,1.1450000,0.3240000,2.8930000
18,1.2050000,0.4110000,3.5660000
19,1.3270000,0.2720000,3.0710000
20,1.4060000,0.3120000,2.8650000
21,1.4350000,0.3570000,3.6960000
22,1.5910000,0.2710000,3.1330000
23,1.6010000,0.3080000,2.9450000
24,1.8120000,0.3950000,3.5420000
25,1.7040000,0.4210000,3.2900000
26,1.8310000,0.4100000,3.8730000
27,2.1300000,0.3650000,2.9890000
28,1.9050000,0.3120000,2.8800000
29,2.4960000,0.3420000,3.2790000
30,2.3170000,0.3040000,2.8960000
31,2.0750000,0.3130000,3.4060000
32,2.5020000,0.2750000,3.1190000
33,2.3250000,0.3250000,2.8940000
34,2.6150000,0.3710000,3.2540000
35,2.5160000,0.2790000,2.9190000
36,2.4020000,0.3160000,3.3370000
37,2.8510000,0.2770000,3.1140000
38,2.5480000,0.3170000,3.4060000
39,2.9530000,0.2790000,2.9200000
40,2.6420000,0.3210000,3.6820000
41,2.9290000,0.3390000,3.4530000
42,2.8240000,0.3210000,3.6740000
43,2.9880000,0.2950000,3.1110000
44,2.9490000,0.3240000,3.7000000
45,3.5960000,0.4080000,3.2400000
46,3.4070000,0.3170000,4.1990000
47,3.3010000,0.3770000,3.5710000
48,4.2970000,0.3620000,3.3080000
49,3.9550000,0.3080000,3.0080000
50,3.7070000,0.4420000,3.6970000
51,4.3040000,0.3190000,2.9750000
52,3.8610000,0.2850000,3.6840000
53,3.9730000,0.4680000,3.9650000
54,4.6880000,0.3120000,3.1890000
55,4.4720000,0.2870000,2.9510000
56,4.5710000,0.4040000,4.0110000
57,5.0350000,0.3770000,3.9620000
58,4.6080000,0.3840000,3.3000000
59,5.3250000,0.4220000,3.6720000
60,4.6150000,0.4240000,3.9510000
61,4.9920000,0.3870000,3.8740000
62,4.4580000,0.4000000,3.9360000
63,4.3720000,0.3030000,3.0980000
64,5.1430000,0.3100000,3.0990000
65,4.4660000,0.3260000,2.9600000
66,5.1110000,0.4640000,3.0470000
67,4.6040000,0.4140000,3.1810000
68,4.4330000,0.4010000,3.6470000
69,5.1820000,0.3210000,3.0630000
70,5.3440000,0.4610000,3.0700000
71,4.8610000,0.4040000,3.3110000
72,4.7110000,0.3930000,3.6830000
73,5.0250000,0.3220000,3.0510000
74,5.6800000,0.4030000,3.1040000
75,5.3080000,0.4490000,3.1260000
76,5.4990000,0.4250000,3.1640000
77,5.2490000,0.4330000,3.1270000
78,5.2580000,0.4330000,3.1770000
79,5.6590000,0.4530000,3.2620000
80,5.4750000,0.4390000,3.1950000
81,5.8050000,0.4660000,3.1500000
82,5.8490000,0.4240000,3.1550000
83,5.9160000,0.4220000,4.3120000
84,6.8170000,0.3420000,3.1220000
85,6.0710000,0.4770000,3.1740000
86,6.2120000,0.4490000,4.3670000
87,7.0740000,0.3170000,3.1990000
88,6.6360000,0.3520000,3.2950000
89,6.5790000,0.3650000,4.3390000
90,7.2000000,0.3160000,3.3160000
91,6.7320000,0.3270000,3.1050000
92,5.9700000,0.3310000,2.8610000
93,6.8970000,0.3260000,3.5890000
94,6.7750000,0.3740000,3.5800000
95,6.5850000,0.3300000,3.6260000
96,6.6690000,0.3300000,3.6450000
97,6.8710000,0.3520000,3.5600000
98,7.0730000,0.3650000,3.5410000
99,7.0390000,0.3560000,3.5240000
100,7.5250000,0.3820000,3.6570000
101,7.7590000,0.3540000,3.6120000
102,7.3550000,0.3290000,4.0780000
103,7.3950000,0.3420000,3.0620000
104,7.2920000,0.4080000,3.3410000
105,8.8950000,0.4280000,3.9500000
106,8.6080000,0.3300000,3.3620000
107,8.3380000,0.3530000,3.3390000
108,7.9540000,0.3640000,3.3700000
109,8.1580000,0.3650000,3.4670000
110,8.1740000,0.3690000,3.5000000
111,7.8060000,0.3460000,3.3260000
112,8.7110000,0.3940000,3.3300000
113,8.4580000,0.3400000,3.2860000
114,7.8680000,0.3560000,3.3260000
115,8.2120000,0.3680000,3.4880000
116,8.4290000,0.3510000,3.3970000
117,8.2920000,0.3440000,3.3670000
118,8.6800000,0.3770000,3.3980000
119,8.5790000,0.3620000,3.3260000
120,8.7990000,0.3750000,3.3000000
121,8.7000000,0.3880000,3.2960000
122,8.8440000,0.3500000,3.3020000
123,8.9410000,0.4000000,3.2950000
124,8.9030000,0.3470000,3.7800000
125,9.3000000,0.3330000,3.3190000
126,9.3260000,0.3760000,3.3620000
127,9.3050000,0.3620000,3.5430000
128,9.2830000,0.3360000,3.2960000
129,9.0610000,0.4080000,4.0800000
130,10.5830000,0.3360000,3.2840000
131,10.3670000,0.4410000,3.9000000
132,10.6690000,0.4430000,3.8020000
133,10.7930000,0.4530000,3.8930000
134,11.2560000,0.3430000,3.9590000
135,9.8340000,0.3460000,3.8430000
136,10.1190000,0.3510000,3.1950000
137,9.8230000,0.4170000,3.3440000
138,10.3240000,0.3790000,3.3020000
139,10.1150000,0.3410000,3.4930000
140,10.2600000,0.3410000,3.3150000
141,10.2120000,0.3470000,3.5780000
142,9.8500000,0.3440000,3.9180000
143,9.9000000,0.3490000,3.6150000
144,11.4390000,0.4090000,4.2810000
145,11.8940000,0.3770000,3.1540000
146,10.2460000,0.3350000,2.9370000
147,10.7240000,0.4190000,3.3490000
148,10.9570000,0.4080000,3.3010000
149,11.1640000,0.3430000,3.3400000
150,11.1700000,0.3500000,3.5430000
151,10.5230000,0.3660000,3.3280000
152,11.4630000,0.4300000,3.1420000
153,11.2360000,0.3510000,3.6880000
154,11.0690000,0.3480000,3.4710000
155,11.0870000,0.3470000,3.5200000
156,12.2160000,0.3490000,3.5510000
157,11.2430000,0.4540000,3.4250000
158,11.5740000,0.3750000,3.3670000
159,11.5980000,0.3510000,3.2980000
160,11.7060000,0.4220000,3.5170000
161,11.6850000,0.3590000,3.3530000
162,11.6290000,0.3520000,3.4990000
163,11.7800000,0.4620000,3.4630000
164,11.7880000,0.3520000,3.4760000
165,11.9570000,0.3580000,3.3980000
166,11.8420000,0.3540000,3.4570000
167,12.1100000,0.3670000,3.5730000
168,12.2650000,0.4030000,3.4830000
169,12.2650000,0.4450000,3.3970000
170,11.8210000,0.4020000,3.3130000
171,12.1500000,0.4730000,3.4600000
172,12.1140000,0.4610000,3.3070000
173,12.4800000,0.3540000,3.3630000
174,13.0440000,0.4210000,3.4290000
175,12.6900000,0.4440000,3.5700000
176,12.5100000,0.4360000,3.3570000
177,12.7200000,0.4110000,3.4250000
178,12.7830000,0.4150000,3.4010000
179,12.8340000,0.3930000,3.4960000
180,12.8570000,0.4870000,3.5820000
181,12.8000000,0.4650000,3.4970000
182,12.8150000,0.4210000,3.4110000
183,13.0350000,0.5060000,3.3670000
